Disease_Code,Name,Treatments,Contagious,Chronic
D385,Edward Syndrome,"Supportive care, addressing associated medical issues, early intervention programs, palliative care",False,False
D386,West Nile Virus,"Supportive care, symptom management, prevention of mosquito bites",True,False
D387,Obesity,"Antifungal medication eg  Amphotericin B, Fluconazole, supportive care",False,True
D388,Hypertension,"medication, diet change, exercise",False,True
D389,Sialolithiasis,"Warm compresses, Saliva stimulation, Sialagogues, Stone removal ",False,False
D390,Hyperopia,"Eyeglasses, contact lenses, refractive surgery",False,False
D391,Liver Cancer,"Surgery, Radiation therapy, Chemotherapy, Targeted therapy, Immunotherapy, Radiofrequency ablation, Transarterial chemoembolization (TACE), Selective internal radiation therapy (SIRT), Palliative care, Clinical trials",True,True
D392,Chalazion,"Warm compresses (to help soften and promote drainage of the blocked oil gland), gentle massage of the affected area, eyelid hygiene (keeping the area clean), over-the-counter lubricating eye drops, topical antibiotic ointments (if there is a risk of infection), corticosteroid injections (for larger or persistent chalazia), surgical drainage or excision (in rare cases or if conservative treatments are ineffective)",False,False
D393,Hypocalcemia,"Calcium and vitamin D supplements, treating underlying causes, intravenous calcium (in severe cases)",False,False
D394,Viral Warts,"Topical treatments (salicylic acid, cryotherapy), laser therapy, surgical removal, immune therapy (for persistent or recurrent cases)",False,True
D395,Spondylitis,"Medication (such as nonsteroidal anti-inflammatory drugs, corticosteroids, disease-modifying antirheumatic drugs), physical therapy (including stretching and strengthening exercises), heat or cold therapy, posture correction techniques, lifestyle modifications (such as regular exercise, weight management), assistive devices (such as braces or supports), surgical intervention (in rare cases), pain management techniques (such as acupuncture or transcutaneous electrical nerve stimulation)",True,True
